slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,is_pass,difficulty
number-of-subarrays-with-lcm-equal-to-k,102.0,102.0,83.8707,SUCCESS,29.0323,Accepted,True,1,Medium
maximum-sum-of-distinct-subarrays-with-length-k,93.0,93.0,35.0124,SUCCESS,63.1607,Accepted,True,0,Medium
words-within-two-edits-of-dictionary,33.0,33.0,98.6207,SUCCESS,57.9311,Accepted,True,1,Medium
destroy-sequential-targets,45.0,45.0,71.9624,SUCCESS,26.1679,Accepted,True,1,Medium
number-of-subarrays-with-gcd-equal-to-k,87.0,87.0,80.3799,SUCCESS,56.9619,Accepted,True,1,Medium
minimum-addition-to-make-integer-beautiful,92.0,92.0,100,SUCCESS,16.279,Accepted,True,0,Medium
most-popular-video-creator,86.0,86.0,15.1774,SUCCESS,23.2135,Accepted,True,0,Medium
sum-of-number-and-its-reverse,258.0,258.0,58.5118,SUCCESS,79.2554,Accepted,True,1,Medium
bitwise-xor-of-all-pairings,42.0,42.0,36.1306,SUCCESS,31.7017,Accepted,True,1,Medium
minimize-maximum-of-array,68.0,68.0,48.2681,SUCCESS,97.2773,Accepted,True,0,Medium
range-product-queries-of-powers,70.0,70.0,13.8882,SUCCESS,84.7221,Accepted,True,0,Medium
find-the-original-array-of-prefix-xor,46.0,46.0,84.6045,SUCCESS,65.4645,Accepted,True,0,Medium
longest-uploaded-prefix,24.0,24.0,85.714,SUCCESS,12.8568,Accepted,True,0,Medium
partition-string-into-substrings-with-values-at-most-k,56.0,56.0,75.7352,SUCCESS,33.8235,Accepted,True,0,Medium
minimize-xor,280.0,280.0,100,SUCCESS,62.2785,Accepted,True,0,Medium
maximum-sum-of-an-hourglass,41.0,41.0,81.3665,SUCCESS,20.4969,Accepted,True,1,Medium
find-all-good-indices,68.0,68.0,65.5399,SUCCESS,37.8372,Accepted,True,0,Medium
longest-subarray-with-maximum-bitwise-and,52.0,52.0,65.625,SUCCESS,34.375,Accepted,True,0,Medium
smallest-subarrays-with-maximum-bitwise-or,59.0,59.0,65.854,SUCCESS,75.6098,Accepted,True,0,Medium
maximum-matching-of-players-with-trainers,35.0,35.0,53.0748,SUCCESS,62.8342,Accepted,True,1,Medium
reverse-odd-levels-of-binary-tree,57.0,57.0,86.8746,SUCCESS,55.0451,Accepted,True,0,Medium
length-of-the-longest-alphabetical-continuous-substring,123.0,123.0,85.4613,SUCCESS,27.305,Accepted,True,1,Medium
optimal-partition-of-string,62.0,62.0,89.4223,SUCCESS,84.9628,Accepted,True,0,Medium
collect-coins-in-a-tree,4986.0,4986.0,87.1562,SUCCESS,93.578,Accepted,True,0,Hard
rearranging-fruits,40.0,40.0,72.0928,SUCCESS,76.7441,Accepted,True,0,Hard
count-increasing-quadruplets,121.0,121.0,14.2864,SUCCESS,5.3575,Accepted,True,1,Hard
minimum-time-to-complete-all-tasks,1059.0,1059.0,42.633,SUCCESS,54.2105,Accepted,True,0,Hard
count-number-of-possible-root-nodes,51.0,51.0,85.8401,SUCCESS,83.1854,Accepted,True,0,Hard
number-of-ways-to-earn-points,63.0,63.0,40.9648,SUCCESS,97.5904,Accepted,True,0,Hard
split-the-array-to-make-coprime-products,75.0,75.0,5.1763,SUCCESS,22.0973,Accepted,True,0,Hard
check-if-point-is-reachable,60.0,60.0,100,SUCCESS,22.5226,Accepted,True,0,Hard
minimum-cost-to-split-an-array,59.0,59.0,77.2711,SUCCESS,84.3433,Accepted,True,0,Hard
difference-between-maximum-and-minimum-price-sum,58.0,58.0,68.9655,SUCCESS,65.5171,Accepted,True,0,Hard
count-anagrams,41.0,41.0,58.0187,SUCCESS,51.415,Accepted,True,0,Hard
number-of-great-partitions,46.0,46.0,83.3335,SUCCESS,96.6667,Accepted,True,0,Hard
cycle-length-queries-in-a-tree,27.0,27.0,39.3049,SUCCESS,43.2837,Accepted,True,0,Hard
add-edges-to-make-degrees-of-all-nodes-even,52.0,52.0,26.8399,SUCCESS,90.0433,Accepted,True,0,Hard
minimum-total-cost-to-make-arrays-unequal,104.0,104.0,74.6032,SUCCESS,33.3334,Accepted,True,0,Hard
maximum-number-of-points-from-grid-queries,22.0,22.0,84.1169,SUCCESS,75.839,Accepted,True,0,Hard
divide-nodes-into-the-maximum-number-of-groups,57.0,57.0,20.1378,SUCCESS,66.9967,Accepted,True,0,Hard
count-palindromic-subsequences,63.0,63.0,36.4987,SUCCESS,18.4922,Accepted,True,0,Hard
count-subarrays-with-median-k,45.0,45.0,95.8113,SUCCESS,46.5967,Accepted,True,0,Hard
next-greater-element-iv,51.0,51.0,85.1283,SUCCESS,63.59,Accepted,True,0,Hard
minimum-number-of-operations-to-make-arrays-similar,32.0,32.0,79.5701,SUCCESS,58.6022,Accepted,True,0,Hard
minimum-cost-to-make-array-equal,48.0,48.0,89.3835,SUCCESS,64.041,Accepted,True,0,Hard
create-components-with-same-value,43.0,43.0,5.6346,SUCCESS,100.0,Accepted,True,0,Hard
paths-in-matrix-whose-sum-is-divisible-by-k,88.0,88.0,44.2541,SUCCESS,67.8163,Accepted,True,0,Hard
number-of-pairs-satisfying-inequality,61.0,61.0,93.9999,SUCCESS,92.6667,Accepted,True,1,Hard
maximum-deletions-on-a-string,129.0,129.0,63.8291,SUCCESS,85.1063,Accepted,True,0,Hard
number-of-good-paths,134.0,134.0,40.1353,SUCCESS,78.9114,Accepted,True,0,Hard
minimum-money-required-before-transactions,56.0,56.0,70.9678,SUCCESS,54.8388,Accepted,True,0,Hard
sum-of-prefix-scores-of-strings,38.0,38.0,25.3375,SUCCESS,10.4066,Accepted,True,1,Hard
meeting-rooms-iii,81.0,81.0,75.4642,SUCCESS,67.6809,Accepted,True,0,Hard
build-a-matrix-with-conditions,53.0,53.0,68.9903,SUCCESS,87.0192,Accepted,True,0,Hard
count-special-integers,120.0,120.0,100,SUCCESS,81.1881,Accepted,True,1,Hard
minimum-replacements-to-sort-the-array,47.0,47.0,63.2074,SUCCESS,74.5282,Accepted,True,0,Hard
maximum-number-of-robots-within-budget,82.0,82.0,69.061,SUCCESS,48.7623,Accepted,True,1,Hard
longest-cycle-in-a-graph,81.0,81.0,91.3719,SUCCESS,76.3279,Accepted,True,0,Hard
shortest-impossible-sequence-of-rolls,65.0,65.0,45.4546,SUCCESS,58.4416,Accepted,True,0,Hard
minimum-deletions-to-make-array-divisible,49.0,49.0,34.0785,SUCCESS,80.4469,Accepted,True,0,Hard
subarray-with-elements-greater-than-varying-threshold,68.0,68.0,48.2131,SUCCESS,69.6427,Accepted,True,0,Hard
count-the-number-of-ideal-arrays,47.0,47.0,47.0484,SUCCESS,18.2068,Accepted,True,0,Hard
minimum-score-after-removals-on-a-tree,65.0,65.0,73.5292,SUCCESS,94.1176,Accepted,True,0,Hard
count-subarrays-with-score-less-than-k,167.0,167.0,54.8388,SUCCESS,89.2298,Accepted,True,0,Hard
match-substring-after-replacement,116.0,116.0,37.0784,SUCCESS,41.573,Accepted,True,0,Hard
naming-a-company,89.0,89.0,81.4434,SUCCESS,36.0823,Accepted,True,0,Hard
design-a-text-editor,45.0,45.0,63.7865,SUCCESS,29.2059,Accepted,True,0,Hard
booking-concert-tickets-in-groups,97.0,97.0,49.9996,SUCCESS,67.4417,Accepted,True,1,Hard
sum-of-total-strength-of-wizards,82.0,82.0,31.6374,SUCCESS,79.6612,Accepted,True,0,Hard
longest-path-with-different-adjacent-characters,142.0,142.0,94.898,SUCCESS,86.2246,Accepted,True,0,Hard
count-integers-in-intervals,73.0,73.0,99.7076,SUCCESS,57.8945,Accepted,True,1,Hard
maximum-score-of-a-node-sequence,75.0,75.0,91.9117,SUCCESS,30.1466,Accepted,True,0,Hard
total-appeal-of-a-string,77.0,77.0,82.38,SUCCESS,21.5104,Accepted,True,1,Hard
number-of-flowers-in-full-bloom,53.0,53.0,93.4153,SUCCESS,78.5603,Accepted,True,0,Hard
sum-of-scores-of-built-strings,150.0,150.0,76.6234,SUCCESS,93.5065,Accepted,True,0,Hard
longest-substring-of-one-repeating-character,57.0,57.0,78.049,SUCCESS,36.5858,Accepted,True,0,Hard
minimum-white-tiles-after-covering-with-carpets,2706.0,2706.0,91.5792,SUCCESS,71.5789,Accepted,True,0,Hard
replace-non-coprime-numbers-in-array,71.0,71.0,69.565,SUCCESS,94.2028,Accepted,True,1,Hard
count-array-pairs-divisible-by-k,115.0,115.0,70.1287,SUCCESS,87.0129,Accepted,True,0,Hard
minimum-time-to-finish-the-race,58.0,58.0,88.5253,SUCCESS,87.4318,Accepted,True,0,Hard
maximum-and-sum-of-array,84.0,84.0,9.091,SUCCESS,84.4156,Accepted,True,0,Hard
minimum-time-to-remove-all-cars-containing-illegal-goods,89.0,89.0,35.1352,SUCCESS,21.6217,Accepted,True,0,Hard
maximum-good-people-based-on-statements,91.0,91.0,25.9242,SUCCESS,55.5554,Accepted,True,0,Hard
minimum-difference-in-sums-after-removal-of-elements,110.0,110.0,56.9589,SUCCESS,77.5315,Accepted,True,0,Hard
maximum-running-time-of-n-computers,52.0,52.0,11.1889,SUCCESS,54.5455,Accepted,True,0,Hard
earliest-possible-day-of-full-bloom,185.0,185.0,96.3856,SUCCESS,72.8917,Accepted,True,0,Hard
number-of-ways-to-divide-a-long-corridor,248.0,248.0,70.8865,SUCCESS,32.9115,Accepted,True,0,Hard
maximum-employees-to-be-invited-to-a-meeting,99.0,99.0,45.2166,SUCCESS,21.3033,Accepted,True,0,Hard
recover-the-original-array,110.0,110.0,23.8622,SUCCESS,52.2726,Accepted,True,0,Hard
minimum-operations-to-make-the-array-k-increasing,90.0,90.0,57.9704,SUCCESS,20.2895,Accepted,True,0,Hard
find-all-people-with-secret,56.0,56.0,72.3925,SUCCESS,69.325,Accepted,True,0,Hard
valid-arrangement-of-pairs,40.0,40.0,75.4624,SUCCESS,93.9812,Accepted,True,0,Hard
stamping-the-grid,77.0,77.0,92.4052,SUCCESS,32.9123,Accepted,True,0,Hard
maximum-path-quality-of-a-graph,62.0,62.0,81.4389,SUCCESS,54.1666,Accepted,True,0,Hard
check-if-an-original-string-exists-given-two-encoded-strings,215.0,215.0,35.2517,SUCCESS,65.4231,Accepted,True,0,Hard
parallel-courses-iii,42.0,42.0,98.5469,SUCCESS,93.8461,Accepted,True,0,Hard
second-minimum-time-to-reach-destination,77.0,77.0,32.9211,SUCCESS,43.4782,Accepted,True,0,Hard
partition-array-into-two-arrays-to-minimize-sum-difference,201.0,201.0,20.8311,SUCCESS,56.9794,Accepted,True,0,Hard
smallest-k-length-subsequence-with-occurrences-of-a-letter,152.0,152.0,89.2858,SUCCESS,73.2142,Accepted,True,0,Hard
the-score-of-students-solving-math-expression,274.0,274.0,31.708,SUCCESS,78.0488,Accepted,True,0,Hard
smallest-missing-genetic-value-in-each-subtree,68.0,68.0,90.9091,SUCCESS,86.3637,Accepted,True,0,Hard
gcd-sort-of-an-array,91.0,91.0,77.9663,SUCCESS,77.9663,Accepted,True,1,Hard
number-of-unique-good-subsequences,69.0,69.0,82.2786,SUCCESS,62.0253,Accepted,True,0,Hard
the-number-of-good-subsets,92.0,92.0,53.8457,SUCCESS,69.2307,Accepted,True,0,Hard
last-day-where-you-can-still-cross,118.0,118.0,33.25,SUCCESS,66.75,Accepted,True,0,Hard
find-the-longest-valid-obstacle-course-at-each-position,78.0,78.0,50.9711,SUCCESS,64.5634,Accepted,True,0,Hard
count-number-of-special-subsequences,99.0,99.0,100,SUCCESS,62.7119,Accepted,True,1,Hard
delete-duplicate-folders-in-system,108.0,108.0,93.2584,SUCCESS,58.4268,Accepted,True,0,Hard
maximum-genetic-difference-query,59.0,59.0,82.927,SUCCESS,92.683,Accepted,True,0,Hard
painting-a-grid-with-three-different-colors,84.0,84.0,26.5343,SUCCESS,82.0956,Accepted,True,0,Hard
merge-bsts-to-create-single-bst,475.0,475.0,98.1308,SUCCESS,82.2429,Accepted,True,0,Hard
minimum-space-wasted-from-packaging,42.0,42.0,48.052,SUCCESS,11.6884,Accepted,True,0,Hard
minimum-cost-to-change-the-final-value-of-expression,70.0,70.0,78.5716,SUCCESS,96.4286,Accepted,True,0,Hard
stone-game-viii,78.0,78.0,47.7277,SUCCESS,93.1819,Accepted,True,1,Hard
minimum-xor-sum-of-two-arrays,64.0,64.0,89.9999,SUCCESS,87.1428,Accepted,True,1,Hard
maximum-building-height,50.0,50.0,82.2224,SUCCESS,91.1111,Accepted,True,0,Hard
find-xor-sum-of-all-pairs-bitwise-and,84.0,84.0,67.5673,SUCCESS,97.2972,Accepted,True,1,Hard
closest-room,43.0,43.0,93.4783,SUCCESS,58.6957,Accepted,True,0,Hard
number-of-different-subsequences-gcds,39.0,39.0,85.4169,SUCCESS,79.1668,Accepted,True,0,Hard
maximize-number-of-nice-divisors,213.0,213.0,31.1111,SUCCESS,41.1111,Accepted,True,1,Hard
maximum-score-of-a-good-subarray,73.0,73.0,56.5963,SUCCESS,47.5072,Accepted,True,1,Hard
maximize-score-after-n-operations,77.0,77.0,83.4426,SUCCESS,41.0588,Accepted,True,1,Hard
car-fleet-ii,85.0,85.0,72.3078,SUCCESS,76.1539,Accepted,True,1,Hard
maximize-palindrome-length-from-subsequences,109.0,109.0,95.0821,SUCCESS,52.4594,Accepted,True,0,Hard
count-pairs-of-nodes,63.0,63.0,78.9472,SUCCESS,64.9122,Accepted,True,0,Hard
minimum-degree-of-a-connected-trio-in-a-graph,68.0,68.0,65.3544,SUCCESS,21.26,Accepted,True,0,Hard
closest-subsequence-sum,74.0,74.0,83.116,SUCCESS,53.2458,Accepted,True,0,Hard
building-boxes,86.0,86.0,100,SUCCESS,76.087,Accepted,True,0,Hard
maximum-number-of-events-that-can-be-attended-ii,69.0,69.0,75.5404,SUCCESS,69.7848,Accepted,True,0,Hard
count-ways-to-make-array-with-product,67.0,67.0,84.7677,SUCCESS,48.3443,Accepted,True,0,Hard
minimum-operations-to-make-a-subsequence,82.0,82.0,89.0625,SUCCESS,35.9375,Accepted,True,1,Hard
maximum-xor-with-an-element-from-array,67.0,67.0,91.3266,SUCCESS,40.3065,Accepted,True,1,Hard
number-of-ways-to-reconstruct-a-tree,81.0,81.0,80.769,SUCCESS,84.6153,Accepted,True,0,Hard
minimize-deviation-in-array,76.0,76.0,67.1225,SUCCESS,68.4931,Accepted,True,1,Hard
create-sorted-array-through-instructions,65.0,65.0,27.5726,SUCCESS,61.6217,Accepted,True,1,Hard
minimum-number-of-removals-to-make-mountain-array,91.0,91.0,39.9028,SUCCESS,80.7692,Accepted,True,0,Hard
distribute-repeating-integers,109.0,109.0,42.2519,SUCCESS,76.0562,Accepted,True,0,Hard
count-subtrees-with-max-distance-between-cities,31.0,31.0,31.2473,SUCCESS,85.7142,Accepted,True,1,Hard
maximum-number-of-visible-points,119.0,119.0,96.3852,SUCCESS,57.1083,Accepted,True,0,Hard
minimum-one-bit-operations-to-make-integers-zero,308.0,308.0,100,SUCCESS,24.6574,Accepted,True,1,Hard
fancy-sequence,107.0,107.0,67.742,SUCCESS,100.0,Accepted,True,0,Hard
cat-and-mouse-ii,180.0,180.0,15.1502,SUCCESS,22.7266,Accepted,True,0,Hard
maximum-number-of-achievable-transfer-requests,117.0,117.0,44.6174,SUCCESS,72.3077,Accepted,True,0,Hard
check-if-string-is-transformable-with-substring-sort-operations,138.0,138.0,39.3163,SUCCESS,57.265,Accepted,True,0,Hard
strange-printer-ii,153.0,153.0,67.3765,SUCCESS,5.6737,Accepted,True,0,Hard
number-of-ways-to-reorder-array-to-get-same-bst,161.0,161.0,74.4184,SUCCESS,88.372,Accepted,True,0,Hard
minimum-number-of-days-to-disconnect-island,104.0,104.0,68.3459,SUCCESS,75.5396,Accepted,True,0,Hard
count-all-possible-routes,109.0,109.0,80.0007,SUCCESS,88.3334,Accepted,True,1,Hard
find-longest-awesome-substring,153.0,153.0,72.4143,SUCCESS,96.5517,Accepted,True,1,Hard
get-the-maximum-score,82.0,82.0,95.2381,SUCCESS,38.0951,Accepted,True,1,Hard
maximum-number-of-non-overlapping-substrings,285.0,285.0,7.6474,SUCCESS,97.4522,Accepted,True,1,Hard
best-position-for-a-service-centre,56.0,56.0,18.936,SUCCESS,100.0,Accepted,True,1,Hard
minimum-number-of-increments-on-subarrays-to-form-a-target-array,129.0,129.0,86.6346,SUCCESS,31.4009,Accepted,True,1,Hard
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,50.0,50.0,84.2104,SUCCESS,21.0524,Accepted,True,0,Hard
stone-game-iv,72.0,72.0,71.7262,SUCCESS,87.958,Accepted,True,1,Hard
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,66.0,66.0,76.3644,SUCCESS,41.0909,Accepted,True,0,Hard
maximum-number-of-darts-inside-of-a-circular-dartboard,65.0,65.0,34.0899,SUCCESS,79.5454,Accepted,True,0,Hard
cherry-pickup-ii,59.0,59.0,81.5256,SUCCESS,75.5726,Accepted,True,0,Hard
number-of-ways-of-cutting-a-pizza,54.0,54.0,72.4837,SUCCESS,89.9329,Accepted,True,1,Hard
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,72.0,72.0,71.7949,SUCCESS,32.8205,Accepted,True,0,Hard
form-largest-integer-with-digits-that-add-up-to-target,96.0,96.0,97.9592,SUCCESS,92.8572,Accepted,True,0,Hard
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,31.0,31.0,33.3315,SUCCESS,71.2118,Accepted,True,1,Hard
number-of-ways-to-wear-different-hats-to-each-other,65.0,65.0,91.2088,SUCCESS,97.8022,Accepted,True,1,Hard
number-of-ways-to-paint-n-3-grid,50.0,50.0,88.5351,SUCCESS,59.0235,Accepted,True,0,Hard
restore-the-array,86.0,86.0,90.8337,SUCCESS,65.8335,Accepted,True,1,Hard
number-of-excellent-pairs,,,51.92,,5.57,Accepted,True,0,Hard
number-of-increasing-paths-in-a-grid,,,68.58,,77.43,Accepted,True,0,Hard
number-of-distinct-roll-sequences,,,81.71,,63.41,Accepted,True,0,Hard
minimum-obstacle-removal-to-reach-corner,,,"68,64",,77.06,Accepted,True,0,Hard
substring-with-largest-variance,,,16.02,,16.45,Accepted,True,1,Hard
check-if-there-is-a-valid-parentheses-string-path,,,98.75,,75.0,Accepted,True,0,Hard
escape-the-spreading-fire,,,6.39,,75.58,Accepted,True,0,Hard
minimum-weighted-subgraph-with-the-required-paths,,,77.45,,82.63,Accepted,True,0,Hard
find-substring-with-given-hash-value,,,72.94,,94.12,Accepted,True,0,Hard
process-restricted-friend-requests,,,66.42,,74.63,Accepted,True,0,Hard
count-fertile-pyramids-in-a-land,,,73.08,,47.44,Accepted,True,0,Hard
longest-subsequence-repeated-k-times,,,,,,Time Limit Exceeded,True,0,Hard
minimum-number-of-operations-to-make-array-continuous,,,77.29,,16.16,Accepted,True,0,Hard
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,,,62.34,,64.94,Accepted,True,1,Hard
largest-color-value-in-a-directed-graph,,,82.37,,86.16,Accepted,True,1,Hard
minimum-interval-to-include-each-query,,,34.44,,33.4,Accepted,True,0,Hard
minimum-number-of-operations-to-make-string-sorted,,,70.83,,91.67,Accepted,True,0,Hard
make-the-xor-of-all-segments-equal-to-zero,,,9.52,,33.33,Accepted,True,0,Hard
count-pairs-with-xor-in-a-range,,,87.88,,69.7,Accepted,True,1,Hard
maximum-score-from-performing-multiplication-operations,,,84.44,,84.44,Accepted,True,1,Hard
palindrome-partitioning-iv,,,72.31,,46.05,Accepted,True,1,Hard
find-minimum-time-to-finish-all-jobs,,,19.58,,54.21,Accepted,True,1,Hard
checking-existence-of-edge-length-limited-paths,,,87.33,,30.0,Accepted,True,0,Hard
minimum-incompatibility,,,,,,Wrong Answer,True,1,Hard
delivering-boxes-from-storage-to-ports,,,63.16,,64.91,Accepted,True,0,Hard
maximize-grid-happiness,,,,,,Runtime Error,True,0,Hard
number-of-ways-to-form-a-target-string-given-a-dictionary,,,48.57,,64.29,Accepted,True,0,Hard
minimum-cost-to-connect-two-groups-of-points,,,,,,Wrong Answer,True,0,Hard
remove-max-number-of-edges-to-keep-graph-fully-traversable,,,46.29,,89.71,Accepted,True,0,Hard
minimum-cost-to-cut-a-stick,,,81.27,,62.99,Accepted,True,1,Hard
find-a-value-of-a-mysterious-function-closest-to-target,,,87.93,,75.86,Accepted,True,1,Hard
string-compression-ii,,,5.08,,30.51,Accepted,True,0,Hard
max-value-of-equation,,,80.5,,23.65,Accepted,True,1,Hard
paint-house-iii,,,,,,Wrong Answer,True,0,Hard
allocate-mailboxes,,,70.71,,77.27,Accepted,True,0,Hard
max-dot-product-of-two-subsequences,,,75.48,,63.23,Accepted,True,1,Hard
stone-game-iii,,,65.21,,86.13,Accepted,True,1,Hard
maximum-difference-by-remapping-a-digit,,,6.44,,76.24,Accepted,True,0,Easy
split-with-minimum-sum,,,100,,18.44,Accepted,True,1,Easy
odd-string-difference,,,100,,69.52,Accepted,True,0,Easy
determine-if-two-events-have-conflict,,,100,,81.23,Accepted,True,0,Easy
sort-the-people,,,80.96,,75.21,Accepted,True,1,Easy
strong-password-checker-ii,,,19.67,,30.16,Accepted,True,1,Easy
percentage-of-letter-in-string,,,3.48,,68.24,Accepted,True,1,Easy
largest-number-after-digit-swaps-by-parity,,,16.04,,70.0,Accepted,True,1,Easy
cells-in-a-range-on-an-excel-sheet,,,9.15,,63.72,Accepted,True,0,Easy
keep-multiplying-found-values-by-two,,,100,,36.57,Accepted,True,1,Easy
minimum-cost-of-buying-candies-with-discount,,,100,,63.13,Accepted,True,0,Easy
check-if-all-as-appears-before-all-bs,,,100,,75.4,Accepted,True,0,Easy
check-whether-two-strings-are-almost-equivalent,,,100,,90.23,Accepted,True,0,Easy
minimum-number-of-moves-to-seat-everyone,,,16.8,,74.76,Accepted,True,1,Easy
minimum-difference-between-highest-and-lowest-of-k-scores,,,90.56,,65.05,Accepted,True,1,Easy
minimum-time-to-type-word-using-special-typewriter,,,100,,55.44,Accepted,True,1,Easy
sum-of-digits-of-string-after-convert,,,24.89,,14.55,Accepted,True,1,Easy
largest-odd-number-in-string,,,89.63,,20.55,Accepted,True,1,Easy
check-if-word-equals-summation-of-two-words,,,100,,11.4,Accepted,True,1,Easy
minimum-distance-to-the-target-element,,,100,,65.6,Accepted,True,1,Easy
sorting-the-sentence,,,74.41,,69.06,Accepted,True,1,Easy
replace-all-digits-with-characters,,,100,,34.36,Accepted,True,1,Easy
determine-color-of-a-chessboard-square,,,100,,16.67,Accepted,True,1,Easy
check-if-binary-string-has-at-most-one-segment-of-ones,,,100,,7.42,Accepted,True,1,Easy
find-nearest-point-that-has-the-same-x-or-y-coordinate,,,31.31,,93.13,Accepted,True,1,Easy
check-if-two-string-arrays-are-equivalent,,,100,,63.88,Accepted,True,1,Easy
sort-array-by-increasing-frequency,,,71.22,,30.06,Accepted,True,1,Easy
check-knight-tour-configuration,,,100,,93.27,Accepted,True,0,Medium
total-cost-to-hire-k-workers,,,14.1,,19.64,Accepted,True,0,Medium
count-number-of-distinct-integers-after-reverse-operations,,,70.51,,93.13,Accepted,True,1,Medium
using-a-robot-to-print-the-lexicographically-smallest-string,,,7.93,,71.99,Accepted,True,0,Medium
divide-intervals-into-minimum-number-of-groups,,,61.49,,92.24,Accepted,True,0,Medium
minimum-time-to-visit-a-cell-in-a-grid,,,59.01,,52.87,Accepted,True,1,Hard
find-the-string-with-lcp,,,,,,Wrong Answer,True,0,Hard
minimum-number-of-visited-cells-in-a-grid,,,,,,Wrong Answer,True,0,Hard
put-marbles-in-bags,,,76.58,,35.1,Accepted,True,0,Hard
shortest-cycle-in-a-graph,,,83.16,,25.81,Accepted,True,0,Hard
time-to-cross-a-bridge,,,57.41,,94.44,Accepted,True,0,Hard
minimum-total-distance-traveled,,,88.28,,85.52,Accepted,True,0,Hard
count-subarrays-with-fixed-bounds,,,95.54,,46.48,Accepted,True,0,Hard
